https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/avermedia_gamer_portable_lite_1851262361;avermedia gamer portable lite;5500;;;;;;;;;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/karta_zahvata_video_blackmagic_design_decklink_hd_954345156;карта захвата видео blackmagic design decklink hd;5000;radeon hd 7660g n hd 7660g hd 7700m n hd 7700m d;967;radeon hd 7640g n hd 7640g hd 7600m n hd 7600m d;824;radeon hd 7660g n hd 7660g hd 7600m n hd 7600m d;723;radeon hd 8650g n hd 8650g hd 8600m n hd 8600m d;680;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/kontrolnaya_plata_antminer_s9_i_j_1236874770;контрольная плата antminer s9 i j;5000;;;;;;;;;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/karta_video_zahvata_avermedia_livegamer_portable_1119494212;карта видео захвата avermedia livegamer portable;4500;;;;;;;;;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/sistema_vodyanogo_ohlazhdenie_df_tracer_dt240_novoe_1429138052;система водяного охлаждение df tracеr dt240 новое;4400;radeon r7 240;976;geforce gts 240;818;radeon r5 240;650;geforce gt 240;649;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_agp_512mb_n6800td_asus_1651466916;видеокарта agp 512mb n6800 td asus;4090;asus eah4870x2;496;geforce 6800;113;;;;;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_amd_radeon_7800_hd_2400mb_1821388227;видеокарта amd radeon 7800 hd 2400mb;4000;radeon hd 2400 pro;114;mobility radeon hd 2400;90;radeon hd 2400 pci;14;;;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarty_v_assortimente_1654312517;видеокарты в ассортименте;4000;;;;;;;;;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/komplektuyuschie_dlya_kompyutera_1225041948;комплектующие для компьютера;4000;;;;;;;;;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_512mb_ati_radeon_x1900_xt_asus_1801899699;видеокарта pci e 512mb ati radeon x1900 xt asus;3820;radeon x1900 gt;146;mobility radeon x1900;135;;;;;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/mxm_iii_mxm_3.0_mxm3_videokarta_6_shtuk_raznye_1273392718;mxm iii mxm 3 0 mxm3 видеокарта 6 штук разные;3500;;;;;;;;;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/radeon_r9_270_2gb_256bit_moschnaya_videokarta_1801552604;radeon r9 270 2gb 256bit мощная видеокарта;3500;radeon r9 270x;4697;radeon r9 m270x;1445;;;;;;;;;;;;;;;;
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/plata_videomontazha_matrox_rt_x2_bu_1843500092;плата видеомонтажа matrox rt x2 б у;3500;matrox g200ew;42;matrox g200eh;41;matrox g200er;37;;;;;;;;;;;;;;
