https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1858977485;видеокарта;3000
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_384mb_geforce_fx9600gso_zotac_1801115703;видеокарта pci e 384mb geforce fx9600gso zotac;1480;9600 gso;516;9600 gs;445
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_512mb_geforce_fx9600gso_evga_1801287949;видеокарта pci e 512mb geforce fx9600gso evga;1470;9600 gso;516;9600 gs;445
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1856848728;видеокарта;1500
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_512mb_geforce_gt210_kfa2_1801234021;видеокарта pci e 512mb geforce gt210 kfa2;1460;geforce 8800 gts 512;834;geforce g210m;199;geforce g210;169
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_agp_256mb_fx6600_gigabyte_1480911665;видеокарта agp 256mb fx6600 gigabyte;2090;go 6600 te 6200 te;45;quadro fx 500 fx 600;8
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_512mb_geforce_fx9600gso_sparkle_1801863728;видеокарта pci e 512mb geforce fx9600gso sparkle;1460;9600 gso;516;9600 gs;445
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_512mb_geforce_gt210_ecs_1865816930;видеокарта pci e 512mb geforce gt210 ecs;1470;geforce 8800 gts 512;834;geforce g210m;199;geforce g210;169
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_512mb_geforce_gt210_ecs_1865751783;видеокарта pci e 512mb geforce gt210 ecs;1460;geforce 8800 gts 512;834;geforce g210m;199;geforce g210;169
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_512mb_geforce_gt210_ecs_1865024642;видеокарта pci e 512mb geforce gt210 ecs;1440;geforce 8800 gts 512;834;geforce g210m;199;geforce g210;169
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_512mb_geforce_gt210_ecs_1865159382;видеокарта pci e 512mb geforce gt210 ecs;1450;geforce 8800 gts 512;834;geforce g210m;199;geforce g210;169
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_512mb_geforce_gt210_ecs_1865788192;видеокарта pci e 512mb geforce gt210 ecs;1430;geforce 8800 gts 512;834;geforce g210m;199;geforce g210;169
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/asus_radeon_r9_270x_2gb_1828073372;asus radeon r9 270x 2gb;3500;r9 270x;4697;r9 270;4260
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_1gb_geforce_gt210_gigabyte_1801758072;видеокарта pci e 1gb geforce gt210 gigabyte;2010;geforce g210m;199;geforce g210;169
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_pci-e_153gb_geforce_fx9600gso_evga_1801194857;видеокарта pci e 1,53gb geforce fx9600gso evga;1890;9600 gso;516;9600 gs;445
https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/msi_radeon_280x_gaming_3g_1857295308;msi radeon 280x gaming 3g;3000;r9 280x;5855;r9 280;5382;r9 280x;5248;r9 280;4765;gtx 280;1208
